"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_02472___373285_1","group_5254","K02013","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system ATP-binding protein","ABC.FEV.A"
"PROKKA_02473___143052_1","ppx","K01524","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","ppx-gppA"
"PROKKA_02473___214372_1","gltX1_2","K01885","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_02473___214372_1","gltX1_2","K01885","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_02473___365403_1","group_27920","K02946","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S10","RP-S10, MRPS10, rpsJ"
"PROKKA_02474___143054_1","group_21064","K09812","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","cell division transport system ATP-binding protein","ftsE"
"PROKKA_02474___206477_1","group_8339","K03750","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","molybdopterin molybdotransferase","moeA"
"PROKKA_02474___373289_1","group_1174","K03655","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","ATP-dependent DNA helicase RecG","recG"
"PROKKA_02475___365407_1","group_27911","K02926","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L4","RP-L4, MRPL4, rplD"
"PROKKA_02476___143058_1","pnp_2","K00962","Genetic Information Processing"," Folding, sorting and degradation","  03018 RNA degradation [PATH:ko03018]","polyribonucleotide nucleotidyltransferase","pnp, PNPT1"
"PROKKA_02476___143058_1","pnp_2","K00962","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","polyribonucleotide nucleotidyltransferase","pnp, PNPT1"
"PROKKA_02476___143058_1","pnp_2","K00962","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","polyribonucleotide nucleotidyltransferase","pnp, PNPT1"
"PROKKA_02476___206481_1","group_7715","K00873","Organismal Systems"," Endocrine system","  04922 Glucagon signaling pathway [PATH:ko04922]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Human Diseases"," Cancers","  05203 Viral carcinogenesis [PATH:ko05203]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Metabolism"," Carbohydrate metabolism","  00620 Pyruvate metabolism [PATH:ko00620]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Human Diseases"," Cancers","  05230 Central carbon metabolism in cancer [PATH:ko05230]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","pyruvate kinase","PK, pyk"
"PROKKA_02476___206481_1","group_7715","K00873","Human Diseases"," Endocrine and metabolic diseases","  04930 Type II diabetes mellitus [PATH:ko04930]","pyruvate kinase","PK, pyk"
"PROKKA_02476___349470_1","fabZ_2","K02372","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","fabZ"
"PROKKA_02476___349470_1","fabZ_2","K02372","Metabolism"," Metabolism of cofactors and vitamins","  00780 Biotin metabolism [PATH:ko00780]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","fabZ"
"PROKKA_02476___349470_1","fabZ_2","K02372","Metabolism"," Lipid metabolism","  00061 Fatty acid biosynthesis [PATH:ko00061]","3-hydroxyacyl-[acyl-carrier-protein] dehydratase","fabZ"
"PROKKA_02476___365409_1","group_27733","K02892","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L23","RP-L23, MRPL23, rplW"
"PROKKA_02476___373293_1","group_28295","K11784","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","cyclic dehypoxanthinyl futalosine synthase","mqnC"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Organismal Systems"," Endocrine system","  04910 Insulin signaling pathway [PATH:ko04910]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02478___214382_1","group_5260","K03841","Environmental Information Processing"," Signal transduction","  04152 AMPK signaling pathway [PATH:ko04152]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02480___214386_1","group_7892","K01874","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","methionyl-tRNA synthetase","MARS, metG"
"PROKKA_02480___214386_1","group_7892","K01874","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","methionyl-tRNA synthetase","MARS, metG"
"PROKKA_02480___365417_1","group_27808","K02982","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S3","RP-S3, rpsC"
"PROKKA_02481___143068_1","dnaQ","K02342","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","DNA polymerase III subunit epsilon","DPO3E, dnaQ"
"PROKKA_02481___143068_1","dnaQ","K02342","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase III subunit epsilon","DPO3E, dnaQ"
"PROKKA_02481___143068_1","dnaQ","K02342","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase III subunit epsilon","DPO3E, dnaQ"
"PROKKA_02481___143068_1","dnaQ","K02342","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase III subunit epsilon","DPO3E, dnaQ"
"PROKKA_02481___143068_1","dnaQ","K02342","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase III subunit epsilon","DPO3E, dnaQ"
"PROKKA_02481___365419_1","rplP_2","K02878","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L16","RP-L16, MRPL16, rplP"
"PROKKA_02482___206493_1","group_1032","K01817","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_02482___206493_1","group_1032","K01817","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","phosphoribosylanthranilate isomerase","trpF"
"PROKKA_02482___365421_1","group_27900","K02904","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L29","RP-L29, rpmC"
"PROKKA_02483___214392_1","group_9199","K06920","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-cyano-7-deazaguanine synthase","queC"
"PROKKA_02483___365423_1","group_28095","K02961","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S17","RP-S17, MRPS17, rpsQ"
"PROKKA_02483___373307_1","group_618","K03182","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","4-hydroxy-3-polyprenylbenzoate decarboxylase","ubiD"
"PROKKA_02484___206497_1","group_5998","K01695","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","tryptophan synthase alpha chain","trpA"
"PROKKA_02484___206497_1","group_5998","K01695","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","tryptophan synthase alpha chain","trpA"
"PROKKA_02484___206497_1","group_5998","K01695","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","tryptophan synthase alpha chain","trpA"
"PROKKA_02484___214394_1","group_14122","K05515","Metabolism"," Glycan biosynthesis and metabolism","  00550 Peptidoglycan biosynthesis [PATH:ko00550]","penicillin-binding protein 2","mrdA"
"PROKKA_02484___214394_1","group_14122","K05515","Human Diseases"," Drug resistance","  01501 beta-Lactam resistance [PATH:ko01501]","penicillin-binding protein 2","mrdA"
"PROKKA_02484___365425_1","group_27751","K02874","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L14","RP-L14, MRPL14, rplN"
"PROKKA_02485___357188_1","thrC_4","K01733","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","threonine synthase","thrC"
"PROKKA_02485___357188_1","thrC_4","K01733","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","threonine synthase","thrC"
"PROKKA_02485___357188_1","thrC_4","K01733","Metabolism"," Metabolism of cofactors and vitamins","  00750 Vitamin B6 metabolism [PATH:ko00750]","threonine synthase","thrC"
"PROKKA_02485___365427_1","group_11039","K02895","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L24","RP-L24, MRPL24, rplX"
"PROKKA_02485___373311_1","group_3523","K01749","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","hydroxymethylbilane synthase","hemC, HMBS"
"PROKKA_02486___365429_1","group_27702","K02931","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L5","RP-L5, MRPL5, rplE"
"PROKKA_02487___373315_1","group_7447","K01881","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","prolyl-tRNA synthetase","PARS, proS"
"PROKKA_02488___143082_1","group_21078","K03101","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase II","lspA"
"PROKKA_02488___206505_1","group_13042","K01524","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","ppx-gppA"
"PROKKA_02488___357194_1","group_978","K17686","Environmental Information Processing"," Signal transduction","  04016 MAPK signaling pathway - plant [PATH:ko04016]","Cu+-exporting ATPase","copA, ATP7"
"PROKKA_02488___357194_1","group_978","K17686","Human Diseases"," Drug resistance","  01524 Platinum drug resistance [PATH:ko01524]","Cu+-exporting ATPase","copA, ATP7"
"PROKKA_02488___365433_1","group_28186","K02994","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S8","RP-S8, rpsH"
"PROKKA_02489___143084_1","ileS_2","K01870","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","isoleucyl-tRNA synthetase","IARS, ileS"
"PROKKA_02489___214404_1","group_9818","K03270","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)","kdsC"
"PROKKA_02489___365435_1","group_14028","K02933","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L6","RP-L6, MRPL6, rplF"
"PROKKA_02489___373319_1","group_1488","K02523","Metabolism"," Metabolism of terpenoids and polyketides","  00900 Terpenoid backbone biosynthesis [PATH:ko00900]","octaprenyl-diphosphate synthase","ispB"
"PROKKA_02490___143086_1","ribF_2","K11753","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","riboflavin kinase / FMN adenylyltransferase","ribF"
"PROKKA_02490___214406_1","hisB_2","K01693","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","imidazoleglycerol-phosphate dehydratase","hisB"
"PROKKA_02490___214406_1","hisB_2","K01693","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","imidazoleglycerol-phosphate dehydratase","hisB"
"PROKKA_02490___365437_1","group_8950","K02881","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L18","RP-L18, MRPL18, rplR"
"PROKKA_02491___143088_1","group_21081","K11175","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","phosphoribosylglycinamide formyltransferase 1","purN"
"PROKKA_02491___143088_1","group_21081","K11175","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","phosphoribosylglycinamide formyltransferase 1","purN"
"PROKKA_02491___357200_1","group_2651","K02343","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_02491___357200_1","group_2651","K02343","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_02491___357200_1","group_2651","K02343","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_02491___357200_1","group_2651","K02343","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_02491___357200_1","group_2651","K02343","Genetic Information Processing"," Replication and repair","  03430 Mismatch repair [PATH:ko03430]","DNA polymerase III subunit gamma/tau","DPO3G, dnaX"
"PROKKA_02491___365439_1","rpsE_2","K02988","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S5","RP-S5, MRPS5, rpsE"
"PROKKA_02492___206513_1","group_5604","K08591","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","glycerol-3-phosphate acyltransferase PlsY","plsY"
"PROKKA_02492___206513_1","group_5604","K08591","Metabolism"," Lipid metabolism","  00561 Glycerolipid metabolism [PATH:ko00561]","glycerol-3-phosphate acyltransferase PlsY","plsY"
